United	2016-02-23	31
United	2016-03-01	45
United	2016-03-08	52
United	2016-03-15	80
United	2016-03-22	84
United	2016-03-29	84
United	2016-04-05	93
United	2016-04-12	95
United	2016-04-19	199
United	2016-05-03	126
United	2016-05-10	126
United	2016-05-17	126
United	2016-05-24	126
United	2016-06-01	132
United	2016-06-07	141
United	2016-06-14	146
United	2016-06-21	146
United	2016-06-28	158
